Book_ID,Title,Author,GenRev_Similarity_Score
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.7
89,Trump's War: His Battle for America,Michael Savage,0.7
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.7
94,"Al Franken, Giant of the Senate",Al Franken,0.7
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.7
94,"Al Franken, Giant of the Senate",Al Franken,0.7
94,"Al Franken, Giant of the Senate",Al Franken,0.7
77,"Liars, Leakers, and Liberals: The Case Against the Anti-Trump Conspiracy",Jeanine Pirro,0.7
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.7
77,"Liars, Leakers, and Liberals: The Case Against the Anti-Trump Conspiracy",Jeanine Pirro,0.7
70,Fascism: A Warning,Madeleine K. Albright,0.7
70,Fascism: A Warning,Madeleine K. Albright,0.7
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.7
94,"Al Franken, Giant of the Senate",Al Franken,0.7
68,Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,Michael Isikoff,0.7
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.7
68,Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,Michael Isikoff,0.7
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.7
77,"Liars, Leakers, and Liberals: The Case Against the Anti-Trump Conspiracy",Jeanine Pirro,0.7
99,What Happened,Hillary Rodham Clinton,0.7
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.7
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.7
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.7
94,"Al Franken, Giant of the Senate",Al Franken,0.7
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.7
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.7
