URL,Caption,Like Count,Comment Count,Labels
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/73401823_425688571667337_6601403187733261827_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=490c3f2253eb68540557b06343fb8d18&oe=5E6955D6,"Photo by @brianskerry | The U.S. Civil War submarine CSS Hunley rests in an underwater restoration facility in Charleston, South Carolina, following her recovery from the sea. In 1864 the Hunley became the first submarine to sink a ship in battle (the USS Housatonic), but the blast from the explosive device fractured the submarine's hull as well—and she sunk with a crew of eight aboard. The Hunley was discovered in 1995 and raised intact in 2000. She was placed in a state-of-the-art restoration tank that was built for this purpose. The sub is now on exhibit in Charleston. Follow @BrianSkerry and explore the sea.  #CSSHunley #Charleston #SouthCarolina #shipwrecks",84699,268,"['Rays and skates', 'Fish', 'Underwater', 'Water', 'Manta ray', 'Organism', 'Marine biology', 'Stingray', 'Cartilaginous fish', 'Skate']"
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/69836734_167000641043787_2697821708383977258_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=1a77585017d745ae23a07956782c8d76&oe=5E5984BE,"Photo by William Albert Allard @williamalbertallard | I made this portrait of 17-year-old buckaroo T.J. Symonds just a few minutes after meeting him at the IL Ranch cow camp, in northeastern Nevada, in 1979.  Buckaroo is what they call cowboys in Nevada, Oregon, and Idaho. It’s a bastardization of the Spanish “vaquero.” I was making pictures for a book on the American West, and I’d heard about this outfit that still ran a cook-and-bedroll wagon for a cow-branding crew that camped out for weeks at a time. I’d showed up in my van the night before, and I photographed T.J. early in the morning, just as the rest of the crew was leaving to start a roundup. I stayed in the camp and rode with this outfit for a week or so. For more images of the American West and other assignments spanning a five-decade career #followme @williamalbertallard\n#cowboy #chuckwagon #openrange #bread",168260,519,['Photography']
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e15/75516647_804932756631596_4782417868530061003_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=61d65904f637273e3de7de52fc1ff4a7&oe=5E6FCD87,"Photo by David Guttenfelder @dguttenfelder | The landscape known as Artist’s Palette in California’s Death Valley National Park. We started at the Pacific Ocean, drove through great wind and solar fields, crossed harsh Death Valley, and stopped at some of the country’s most unique, cherished landscapes to see what’s at stake in the U.S. We’re also driving electric cars, visiting renewable energy projects, and meeting people with innovative ideas about energy to see where we are, where we need to be, and how to get to a renewable energy future. On assignment for @natgeo on a #roadtripto2070",252696,491,"['Badlands', 'Mountainous landforms', 'Sky', 'Nature', 'Mountain', 'Rock', 'Formation', 'Cloud', 'Wilderness', 'Geology']"
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/75214681_431073127793880_9119515217875748614_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=143c538fe847fcb42cab66667a47351d&oe=5E58384E,"Photo by @lucasfogliaphoto | Ashley Klein does energy-field massage while Poranguí McGrew plays didgeridoo during a Music Is Medicine retreat in Sedona, Arizona. The purpose of the retreat is to use sound “to send love to that part of us that is hurt, angry, and self-destructive,” says McGrew. “Once we can start to love that place, there is an inkling of what is possible.”",287042,1717,"['Rock', 'Tourism', 'Landscape', 'National park']"
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74496193_430215351025490_4168437098329671307_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=fbbcfce952462955138831fd6dbca8a3&oe=5E51D6DA,"Photo by @gerdludwig | Known for their elaborately painted houses, the Gurunsi—one of Burkina Faso's 60 ethnic groups— live in the southern savanna near the Ghana border. House decoration is more than ornamental for the Gurunsi—it is a communal activity that shapes their social and spiritual life. It culminates in the annual art and culture festival in Tiébélé. The village-wide house painting takes on the form of a mural competition, with mainly female participants. Encouraged by gifts of locally brewed beer, they frequently take breaks to joyously sing, dance, and bump. @thephotosociety @natgeocreative #BurkinaFaso #Gurunsi",149658,394,"['People', 'Community', 'Yellow', 'Tradition', 'Event', 'Temple', 'Tourism', 'Adaptation', 'Sari', 'Smile']"
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/73546053_164166418006535_1106117977828097083_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=dffdda2c66127a2118c4908c34ba6501&oe=5E6911B1,"Photo by @maggiesteber | In a sea of memories Elly Chovel found purpose. An exile from her homeland of Cuba, she swam daily in the waters off Miami, telling me that the waters that lapped the shores of her adopted home also lapped the shores of her homeland. At age 14 Elly was a frightened refugee whose family sent her to the U.S. to escape from Fidel Castro’s Cuba. \nElly and the other young Cubans sent to the U.S. and Canada during this time were called Pedro Pan kids. At age 43 she created an organization to preserve the history of the 14,000 Cuban children who fled without parents between 1960 and 1962. “From memories of suffering comes compassion,” she said. I photographed her on one of her daily swims for a National Geographic story about memory published in November 2007. #natgeowomenofvision #memory #women",273730,672,"['Water', 'Photograph', 'Sky', 'Sea', 'Skin', 'Beauty', 'Ocean', 'Vacation', 'Summer', 'Cloud']"
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74666124_2404855259774372_3315970708196947688_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=a9d77cdf2d8ca44e169a3be2f15ed8a5&oe=5E833D98,"Photo by Katie Orlinsky @katieorlinsky | Conservation biologist Patricia Medici stands in the Pantanal of Brazil. Patricia is one of this year’s recipients of the National Geographic/Buffett Awards for Leadership and Conservation. She has dedicated 27 years to the conservation of lowland tapirs and their remaining habitats in Brazil as part of the Brazilian nonprofit Instituto de Pesquisas Ecológicas (Institute for Ecological Research). Tapirs are South America’s largest land mammal and have existed since the Eocene era. They are known as the gardeners of the forest, responsible for shaping and maintaining biodiversity. They are herbivores, with roughly 50 percent of their diet consisting of fruit, and are also wide-ranging animals, traveling long distances across different habitats. So after they consume and digest their fruits, they spread seeds all over the forest. Today this crucial species is under threat from poaching and industrial agriculture that destroys tapir habitat, increases roadkill accidents, and spreads pesticides. \nI followed Patricia in the field this past May for @insidenatgeo, documenting her important work on the fascinating, vulnerable, and elusive tapir.",156252,320,"['People in nature', 'Grassland', 'Natural landscape', 'Standing', 'Grass', 'Grass family', 'Ecoregion', 'Sky', 'Field', 'Photography']"
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/72847525_500722273988767_3779911754686010127_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=747425265fbc201c3e7b8c49d48e8049&oe=5E8B27CC,"Photo by Trevor Frost @tbfrost | Another day, another cobra in a shower in southern India. Hard to say how the cobra ended up here, though we suspect it was looking for water. To see more photos of the extraordinary men and women in India who are rescuing snakes from inside peoples homes, I'm @tbfrost",790296,11505,"['Plumbing fixture', 'Tile', 'Plumbing', 'Shower']"
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/72653623_422236668420592_6912429139283897555_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=5790fb8568ceecb78e6ced9f1a562d01&oe=5E667268,"Photo by @nataliekeyssar | Eva Maria Escobar, a mother, restaurant manager, cook, activist, and politician, lights the stove in the restaurant she runs with her family. She has been separated from her youngest son, Benjamin, ever since she tried to bring him back to the U.S., where he was born. Because the child is a citizen, he was allowed to stay in the country with relatives, but she was deported to Guatemala. \nEva Maria Escobar and her husband immigrated to the U.S. when they were young, and three of their four sons were born there. After her husband\'s deportation, they moved the family back to Guatemala, but due to economic necessity, they eventually decided that Eva Maria should return to the U.S. for work, with Benjamin. At the border they were separated, and Benjamin was released to relatives in Georgia, while Eva Maria was incarcerated for six months before being deported back to Guatemala. She and her husband are now both leaders in local government. Her three sons still in the U.S. study hard and help out in the ""comedor"" they run to help supplement their income. She is deeply pained by the absence of her youngest son, but tries to comfort herself by hoping that his future in the U.S. will be better than what is available in Guatemala.",177226,881,"['Event', 'Temple']"
https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/75252718_275774573321433_4426133125879599699_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=954ced245dff2ff6916cb25dc47b3736&oe=5E6B79A5,"Photo by @drewtrush | Catching a meteor shower on a clear night in the West can make for an unforgettable experience, like the night I caught this meteor streaking over Medicine Bow Peak in the high country of Wyoming.  The Geminids meteor shower will peak on December 13-14. Are you planning on catching it? To learn more, follow along with photographer @drewtrush #stars #milkyway",356564,709,"['Sky', 'Nature', 'Mountainous landforms', 'Mountain', 'Reflection', 'Light', 'Rock', 'Atmospheric phenomenon', 'Night', 'Atmosphere']"
